time,SP500RET
1987-03-10,0.008840447
1987-03-11,-0.001892734
1987-03-12,0.003129678
1987-03-13,-0.004577455
1987-03-16,-0.005742768
1987-03-17,0.014603325
1987-03-18,0.001059376
1987-03-19,0.004430365
1987-03-20,0.013811954
1987-03-23,0.009977891
1987-03-24,0.001592568
1987-03-25,-0.004185914
1987-03-26,0.00182934
1987-03-27,-0.016079132
1987-03-30,-0.023680057
1987-03-31,0.008607387
1987-04-01,0.002328449
1987-04-02,0.004266145
1987-04-03,0.022827737
1987-04-06,0.005113232
1987-04-07,-0.017573618
1987-04-08,0.001919354
1987-04-09,-0.014912498
1987-04-10,-0.001264201
1987-04-13,-0.023768222
1987-04-14,-0.022877162
1987-04-15,0.018737241
1987-04-16,0.008646243
1987-04-20,-0.002862131
1987-04-21,0.024105042
1987-04-22,-0.020267471
1987-04-23,-0.001289176
1987-04-24,-0.018651348
1987-04-27,0.001100559
1987-04-28,0.002409896
1987-04-29,0.007265321
1987-04-30,0.013230431
1987-05-01,-0.001145058
1987-05-04,0.004606946
1987-05-05,0.020455647
1987-05-06,0.000440074
1987-05-07,-0.002575487
1987-05-08,-0.004557211
1987-05-11,-0.006154497
1987-05-12,0.005915862
1987-05-13,0.002315762
1987-05-14,0.000884023
1987-05-15,-0.023416409
1987-05-18,-0.002717393
1987-05-19,-0.024830421
1987-05-20,-0.005055314
1987-05-21,0.007020338
1987-05-22,0.007077724
1987-05-26,0.024332953
1987-05-27,-0.001315243
1987-05-28,0.007006189
1987-05-29,-0.002272493
1987-06-01,-0.000931147
1987-06-02,-0.004738116
1987-06-03,0.017218991
1987-06-04,0.005504975
1987-06-05,-0.005573128
1987-06-08,0.011081666
1987-06-09,0.001885522
1987-06-10,0.000638924
1987-06-11,0.004226776
1987-06-12,0.009627792
1987-06-15,0.005026798
1987-06-16,0.005329837
1987-06-17,0.00016405
1987-06-18,0.002882885
1987-06-19,0.004178506
1987-06-22,0.008692604
1987-06-23,-0.003947714
1987-06-24,-0.005103296
1987-06-25,0.006820201
1987-06-26,-0.005843034
1987-06-29,0.00240627
1987-06-30,-0.012747354
1987-07-01,-0.003492935
1987-07-02,0.008840454
1987-07-06,-0.002325773
1987-07-07,0.008100384
1987-07-08,0.002891067
1987-07-09,-0.002500773
1987-07-10,0.002760235
1987-07-13,-0.002402599
1987-07-14,0.009865681
1987-07-15,-0.000837224
1987-07-16,0.007318045
1987-07-17,0.006025939
1987-07-20,-0.010224058
1987-07-21,-0.009162241
1987-07-22,-0.000259311
1987-07-23,-0.002141884
1987-07-24,0.004731972
1987-07-27,0.004452195
1987-07-28,0.005393445
1987-07-29,0.010573684
1987-07-30,0.007574598
1987-07-31,0.001916101
1987-08-03,-0.003426437
1987-08-04,-0.00422847
1987-08-05,0.00699568
1987-08-06,0.011365533
1987-08-07,0.002821314
1987-08-10,0.015361285
1987-08-11,0.016119382
1987-08-12,-0.002824012
1987-08-13,0.006776231
1987-08-14,-0.001974157
1987-08-17,0.000359228
1987-08-18,-0.014652939
1987-08-19,0.00176003
1987-08-20,0.015075436
1987-08-21,0.003160691
1987-08-24,-0.007680506
1987-08-25,0.010267215
1987-08-26,-0.00655408
1987-08-27,-0.009580372
1987-08-28,-0.013183266
1987-08-31,0.008403923
1987-09-01,-0.019596463
1987-09-02,-0.005332685
1987-09-03,-0.004580232
1987-09-04,-0.011022077
1987-09-08,-0.009964224
1987-09-09,0.001147447
1987-09-10,0.010173608
1987-09-11,0.015177647
1987-09-14,0.003410539
1987-09-15,-0.016666532
1987-09-16,-0.009105343
1987-09-17,0.000222296
1987-09-18,-0.000222296
1987-09-21,-0.013815378
1987-09-22,0.028444556
1987-09-23,0.005275575
1987-09-24,-0.004587236
1987-09-25,0.001375258
1987-09-28,0.009450456
1987-09-29,-0.004682978
1987-09-30,0.000435107
1987-10-01,0.016945381
1987-10-02,0.002258164
1987-10-05,3.05E-05
1987-10-06,-0.027376961
1987-10-07,-0.002132464
1987-10-08,-0.013845646
1987-10-09,-0.009884443
1987-10-12,-0.00541535
1987-10-13,0.01644505
1987-10-14,-0.029982076
1987-10-15,-0.023703684
1987-10-16,-0.052975642
1987-10-19,-0.228997227
1987-10-20,0.051953546
1987-10-21,0.087088785
1987-10-22,-0.039995067
1987-10-23,-0.000120853
1987-10-26,-0.086418238
1987-10-27,0.02395636
1987-10-28,0.000385877
1987-10-29,0.048079545
1987-10-30,0.028276413
1987-11-02,0.015604998
1987-11-03,-0.019464854
1987-11-04,-0.007443309
1987-11-05,0.021930006
1987-11-06,-0.016122673
1987-11-09,-0.029338787
1987-11-10,-0.017297235
1987-11-11,0.012060866
1987-11-12,0.026998908
1987-11-13,-0.011656276
1987-11-16,0.004549155
1987-11-17,-0.015190165
1987-11-18,0.010274554
1987-11-19,-0.022653358
1987-11-20,0.008090491
1987-11-23,0.004082564
1987-11-24,0.013895356
1987-11-25,-0.009337669
1987-11-27,-0.01552339
1987-11-30,-0.042671781
1987-12-01,0.007354565
1987-12-02,0.00623055
1987-12-03,-0.035934621
1987-12-04,-0.005744455
1987-12-07,0.021384574
1987-12-08,0.026529043
1987-12-09,0.016800733
1987-12-10,-0.022521377
1987-12-11,0.007464472
1987-12-14,0.028776252
1987-12-15,0.002556702
1987-12-16,0.02147203
1987-12-17,-0.020772139
1987-12-18,0.025116125
1987-12-21,0.001523963
1987-12-22,0.001641675
1987-12-23,0.012760802
1987-12-24,-0.004473572
1987-12-28,-0.025966089
1987-12-29,-0.0039987
1987-12-30,0.013280731
1987-12-31,-0.0031519
1988-01-04,0.035230871
1988-01-05,0.010455427
1988-01-06,0.001004792
1988-01-07,0.00838531
1988-01-08,-0.07008239
1988-01-11,0.016663997
1988-01-12,-0.008399149
1988-01-13,0.001587851
1988-01-14,0.000284732
1988-01-15,0.024783868
1988-01-18,-0.000674697
1988-01-19,-0.010215572
1988-01-20,-0.027199563
1988-01-21,0.00209976
1988-01-22,0.013724584
1988-01-25,0.02274147
1988-01-26,-0.010364026
1988-01-27,-0.000761599
1988-01-28,0.01555724
1988-01-29,0.014813344
1988-02-01,-0.007928026
1988-02-02,0.002075949
1988-02-03,-0.013234271
1988-02-04,0
1988-02-05,-0.00496851
1988-02-08,-0.007439142
1988-02-09,0.010462936
1988-02-10,0.019434893
1988-02-11,-0.002770139
1988-02-12,0.006542334
1988-02-16,0.008503124
1988-02-17,-0.002389027
1988-02-18,-0.005027857
1988-02-19,0.014244158
1988-02-22,0.015287164
1988-02-23,-0.002336714
1988-02-24,-0.002228729
1988-02-25,-0.010836402
1988-02-26,0.003358525
1988-02-29,0.020216424
1988-03-01,-0.002242824
1988-03-02,0.002840062
1988-03-03,-0.000373232
1988-03-04,-0.002167496
1988-03-07,0.000299244
1988-03-08,0.007637749
1988-03-09,-0.001374213
1988-03-10,-0.019591544
1988-03-11,0.004160526
1988-03-14,0.005382934
1988-03-15,-0.000901409
1988-03-16,0.009424506
1988-03-17,0.009520882
1988-03-18,-0.000368772
1988-03-21,-0.008817158
1988-03-22,0.000372038
1988-03-23,0.000260344
1988-03-24,-0.020892805
1988-03-25,-0.018549568
1988-03-28,-0.001742262
1988-03-29,0.00775871
1988-03-30,-0.00771996
1988-03-31,0.003172395
1988-04-04,-0.010874316
1988-04-05,0.009405433
1988-04-06,0.026642797
1988-04-07,0.002520457
1988-04-08,0.012210985
1988-04-11,0.00270576
1988-04-12,0.004468827
1988-04-13,0.000773552
1988-04-14,-0.044537125
1988-04-15,7.70E-05
1988-04-18,-0.00215808
1988-04-19,-0.004989085
1988-04-20,-0.006964331
1988-04-21,0.001131597
1988-04-22,0.014403223
1988-04-25,0.009069229
1988-04-26,0.00539474
1988-04-27,-0.000492676
1988-04-28,-0.004521198
1988-04-29,-0.004886065
1988-05-02,0.000879726
1988-05-03,0.005490329
1988-05-04,-0.010242389
1988-05-05,-0.005894721
1988-05-06,-0.005074875
1988-05-09,-0.003657449
1988-05-10,0.004201033
1988-05-11,-0.016871596
1988-05-12,0.002129506
1988-05-13,0.011476146
1988-05-16,0.007488056
1988-05-17,-0.012915955
1988-05-18,-0.015945398
1988-05-19,0.004842048
1988-05-20,0.001780099
1988-05-23,-0.008693118
1988-05-24,0.010627851
1988-05-25,0.000985668
1988-05-26,0.003422573
1988-05-27,-0.00476332
1988-05-31,0.033906813
1988-06-01,0.017131931
1988-06-02,-0.005112601
1988-06-03,0.004212274
1988-06-06,0.002249298
1988-06-07,-0.007064777
1988-06-08,0.023664672
1988-06-09,-0.004873376
1988-06-10,0.003915345
1988-06-13,0.000626509
1988-06-14,0.010518119
1988-06-15,0.000546697
1988-06-16,-0.017199351
1988-06-17,0.003367567
1988-06-20,-0.006449005
1988-06-21,0.010099788
1988-06-22,0.014580128
1988-06-23,-0.003051884
1988-06-24,-0.003791474
1988-06-27,-0.017390461
1988-06-28,0.01200672
1988-06-29,-0.004896106
1988-06-30,0.009256604
1988-07-01,-0.006308706
1988-07-05,0.014719307
1988-07-06,-0.01383663
1988-07-07,-0.000882678
1988-07-08,-0.006496885
1988-07-11,0.001960894
1988-07-12,-0.010029802
1988-07-13,0.005473141
1988-07-14,0.003484195
1988-07-15,0.006601414
1988-07-18,-0.005676807
1988-07-19,-0.00756989
1988-07-20,0.005682783
1988-07-21,-0.01244752
1988-07-22,-0.011921071
1988-07-25,0.004468181
1988-07-26,0.001925001
1988-07-27,-0.010195468
1988-07-28,0.013320412
1988-07-29,0.022304099
1988-08-01,0.000698234
1988-08-02,-0.000551197
1988-08-03,0.003375902
1988-08-04,-0.003853852
1988-08-05,-0.002872507
1988-08-08,-0.004324291
1988-08-09,-0.013011163
1988-08-10,-0.017373968
1988-08-11,0.003240258
1988-08-12,-0.00076147
1988-08-15,-0.014811106
1988-08-16,0.007202727
1988-08-17,0.000805632
1988-08-18,0.00099655
1988-08-19,-0.003031061
1988-08-22,-0.012606021
1988-08-23,0.000427957
1988-08-24,0.015592149
1988-08-25,-0.007495567
1988-08-26,0.001927303
1988-08-29,0.010153149
1988-08-30,0.000685923
1988-08-31,-0.003778414
1988-09-01,-0.012195508
1988-09-02,0.023450379
1988-09-06,0.004188132
1988-09-07,0.001053701
1988-09-08,3.76E-05
1988-09-09,0.003604149
1988-09-12,-0.001387561
1988-09-13,0.003596183
1988-09-14,0.007005283
1988-09-15,-0.004391195
1988-09-16,0.009354536
1988-09-19,-0.006784463
1988-09-20,0.003379448
1988-09-21,0.001592917
1988-09-22,-0.003634075
1988-09-23,0.002152374
1988-09-26,-0.003267491
1988-09-27,-0.002308524
1988-09-28,0.003052074
1988-09-29,0.012960102
1988-09-30,-0.002497706
1988-10-03,-0.001951076
1988-10-04,-0.00280443
1988-10-05,0.004571605
1988-10-06,0.001947635
1988-10-07,0.020638018
1988-10-10,0.00061117
1988-10-11,-0.001114767
1988-10-12,-0.014314172
1988-10-13,0.004515667
1988-10-14,0.001016851
1988-10-17,0.003297642
1988-10-18,0.010687592
1988-10-19,-0.008663665
1988-10-20,0.021113582
1988-10-21,0.002753558
1988-10-24,-0.004876852
1988-10-25,0.000354195
1988-10-26,-0.003547613
1988-10-27,-0.014678243
1988-10-28,0.004497948
1988-10-31,0.001578476
1988-11-01,0.000322563
1988-11-02,0
1988-11-03,0.000501558
1988-11-04,-0.010404947
1988-11-07,-0.008650825
1988-11-08,0.004443804
1988-11-09,-0.006636547
1988-11-10,0.001316223
1988-11-11,-0.021307651
1988-11-14,-0.00074677
1988-11-15,0.002313175
1988-11-16,-0.016987781
1988-11-17,0.002952199
1988-11-18,0.007042415
1988-11-21,-0.000938632
1988-11-22,0.003711831
1988-11-23,0.006676513
1988-11-25,-0.006601669
1988-11-28,0.005262483
1988-11-29,0.008414469
1988-11-30,0.010245954
1988-12-01,-0.0044307
1988-12-02,-0.002498623
1988-12-05,0.011413227
1988-12-06,0.009628685
1988-12-07,0.001943425
1988-12-08,-0.005552365
1988-12-09,0.001589538
1988-12-12,-0.001842652
1988-12-13,-0.000759727
1988-12-14,-0.003625688
1988-12-15,-0.003748253
1988-12-16,0.007301556
1988-12-19,0.00943811
1988-12-20,-0.00517633
1988-12-21,-0.000324412
1988-12-22,-0.001840325
1988-12-23,0.003605296
1988-12-27,-0.003749779
1988-12-28,0.000902674
1988-12-29,0.008338174
1988-12-30,-0.006031035
1989-01-03,-0.008715676
1989-01-04,0.014854079
1989-01-05,0.002073503
1989-01-06,0.002354285
1989-01-09,0.00110389
1989-01-10,-0.002137666
1989-01-11,0.005796705
1989-01-12,0.004104893
