"Index","WMK","UIS","ORB","MAT","ABAX","T","EMR","JCS","VOXX","ZOOM","ROG","GGG","PC","GCO","EBF","F","FNM","NHP","AA","TDW","rf","rm","hml","smb"
"1",0,4.84045104816593,0,1.8816271799476,-4.25596144187959,-0.198019866686217,0.396040121609698,-2.31224174208542,3.22400585734224,-5.63529365511313,1.74423026633426,0,-1.61393943954034,0,-0.81800047119307,1.41846349919563,0.973889946186679,-0.884961527698258,0.152555330883697,1.349762453026,0.011,-0.149,0.23,0.37
"2",0.481541861486656,3.59887323322359,7.69610411361281,1.41537474380939,12.2602322092332,0.986201286911559,1.43887374520997,-2.5667746748578,-3.22400585734224,3.55349994818317,0,0.778214044205494,0,0,0,0.201005092802431,-1.2411506843343,-0.892863074430139,-0.765114673551959,-2.71799305318381,0.011,0.141,0.49,0.41
"3",0.479234144030682,0,-1.86921330121526,-1.85493589111321,7.41079721537219,0.196078494194118,-1.17571569860435,2.5667746748578,-1.71848247541009,3.44235891250788,-1.74423026633426,0.772204609391031,-0.250626697605938,4.02596742857004,-1.44780191806533,0,-1.34712409898796,0.447428039492115,-0.153727931888659,-0.732008148650554,0.011,-0.739,0.17,0.66
"4",-0.960776005517339,-1.12255622198147,-5.82689081239756,-2.00229158751077,-7.41079721537219,-1.38069254461035,0.654881187890544,6.23431305741353,1.71848247541009,-4.8395647406811,-2.07414843068163,0,-1.5170961007807,-1.35914272035391,1.44780191806533,0.600602406021178,-1.27390257774298,-1.34833503372871,-2.80829687428252,-4.93617560683899,0.011,-0.389,-0.19,0.02
"5",-1.45869685318836,0,3.92207131532811,-1.92859068865832,14.3100843640673,0,0,-3.16305438866056,3.22400585734224,2.79722869551211,0,0.766287274556915,-0.127469743200059,6.42095196540966,-0.205549918209602,0.398406901487447,2.79927984335928,0.451468035452673,0.630916919326463,-3.66853364568014,0.011,0.411,0.29,0
"6",1.45869685318836,2.32460490739399,-1.94180858571018,1.92859068865832,-6.89928714869514,0.594061153012104,-0.654881187890544,-1.52383901049324,0,-0.697561373642497,1.19049025063183,0,-1.15459909970608,0,0.81967672041785,-0.398406901487447,-0.356824642651832,0.449438958783921,-1.58481922400235,0.709222830949185,0.011,0.011,0.19,-0.29
"7",0,0,-1.98026272961793,1.00615717454349,6.89928714869514,1.6642576974998,0,0,-1.66350605045325,0.697561373642497,0.883658180049807,1.51518050206023,0,-1.2916225266546,0.610378293801772,-1.40705838969422,-0.358102441770569,1.7778246021284,-1.61034075665787,2.95931081473095,0.011,0.491,-0.09,0.01
"8",1.43772444542085,6.58015099959686,5.82689081239756,-1.00615717454349,-6.89928714869514,1.1583141089631,-0.394997221931437,4.6868933991538,-5.02751371640102,-1.40002286733889,1.74423026633426,1.49256502166757,-0.907329620567454,2.46926125903713,-1.43005501421962,0.806455983673038,3.87031594455323,1.31292914417925,0,0,0.011,0.731,-0.19,0.19
"9",0.474684435621953,4.29539715321936,1.86921330121526,-0.450451212110448,1.69975763685712,-1.1583141089631,0,-4.6868933991538,-5.1507557145932,0.702461493696394,-0.868312257346093,0,-0.522194398115206,-1.17763873238252,1.43005501421962,2.77245480148547,2.72357260155487,1.29591446425054,1.29034048359078,-1.46870890616819,0.011,0.371,0.31,0.15
"10",-0.951632875525465,0,-5.71584138399488,4.30767869073443,-5.33652205394459,-1.07370480009568,-0.529101763441542,0,8.61776962410523,-1.39862419747399,0,-0.743497848751812,0.522194398115206,0,-0.610378293801772,1.35792581263809,-0.0839983249725229,0.854706057845833,0,0,0.011,0.021,0.91,-0.05
